Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2024-03-07;16.2;16.2;16.2;16.2;121.5
2024-03-08;13.0;13.0;12.0;12.4;13632.2848
2024-03-11;16.0;18.4;16.0;17.8;43718.6518
2024-03-14;19.6;20.8;19.6;20.8;1657.18
2024-03-15;22.2;22.2;22.2;22.2;51723.2916
2024-03-18;19.2;20.0;19.2;19.6;2336.8
2024-03-19;23.0;24.2;23.0;24.2;3019.0
2024-03-20;23.4;25.8;23.4;25.8;2235.42
2024-03-21;22.0;22.0;22.0;22.0;2035.0
2024-03-22;25.0;25.2;25.0;25.2;18499.8
2024-03-25;27.0;27.0;24.4;24.4;377.76
2024-04-04;23.2;23.2;23.0;23.0;1157.5
2024-04-05;28.2;29.0;27.2;27.2;76287.8517
2024-04-08;28.0;28.2;27.2;27.2;27650.0
2024-04-09;26.8;27.6;26.8;27.6;20350.0
2024-04-10;27.6;27.6;27.6;27.6;966.0
2024-04-11;28.2;28.2;28.2;28.2;987.0
2024-04-12;29.8;29.8;29.8;29.8;2011.5
2024-04-15;30.2;30.6;30.2;30.6;1559.4116
2024-04-16;31.4;31.4;31.4;31.4;3072.8511
2024-04-17;32.0;32.0;32.0;32.0;320.0
2024-04-18;35.0;35.0;35.0;35.0;210.0
2024-04-19;37.4;38.2;36.6;38.2;1505.7278
2024-04-22;39.4;41.0;39.2;40.6;5647.6
2024-04-23;37.2;37.2;35.6;35.6;5460.0
2024-04-24;34.0;34.0;34.0;34.0;1190.0
2024-04-25;35.8;35.8;35.8;35.8;2416.5
2024-04-29;32.0;32.0;32.0;32.0;320.0
2024-04-30;30.8;31.6;30.8;31.6;1449.4
2024-05-02;39.6;40.0;38.6;40.0;3934.9805
2024-05-03;37.2;37.2;37.2;37.2;55.8
2024-05-06;33.2;33.2;32.2;32.2;493.0
2024-05-08;33.8;33.8;32.8;33.2;11701.5136
2024-05-09;33.6;33.6;33.6;33.6;0.0168
2024-05-14;36.0;36.0;34.6;34.6;965.5
2024-05-15;31.6;31.6;30.6;30.8;1470.0
2024-05-16;28.4;28.4;25.4;25.4;2412.0
2024-05-17;25.6;25.6;25.0;25.6;2793.259
2024-05-20;25.6;25.6;25.6;25.6;95.5648
2024-05-21;26.8;26.8;26.8;26.8;134.0
2024-05-22;24.0;24.0;24.0;24.0;480.0
2024-05-23;24.0;28.0;23.6;28.0;55399.9888
2024-05-27;24.0;24.6;24.0;24.6;10456.1451
2024-05-28;25.4;25.4;25.4;25.4;317.5
2024-05-31;26.4;26.4;26.4;26.4;264.0
2024-06-04;24.8;24.8;24.8;24.8;1240.0
2024-06-05;24.8;24.8;24.8;24.8;124.0
2024-06-06;24.2;24.2;23.8;23.8;477.21
2024-06-10;26.2;26.2;26.2;26.2;3.93
2024-06-11;28.0;28.0;28.0;28.0;980.0
2024-06-18;30.0;30.0;30.0;30.0;0.075
2024-06-20;24.0;24.0;24.0;24.0;1200.0
2024-06-21;26.8;28.0;26.8;28.0;441.44
2024-06-24;26.33;27.1;26.33;27.1;2762.66
2024-06-25;27.175;27.175;27.175;27.175;108.7
2024-06-28;27.63;27.63;27.63;27.63;221.04
2024-07-03;24.85;24.85;24.675;24.675;345.625
2024-07-08;20.475;20.475;19.594;20.215;5000.456
2024-07-09;18.872;18.944;18.872;18.944;10228.732
2024-07-10;16.138;17.49;16.138;17.1;121821.692
2024-07-17;22.72;22.72;22.72;22.72;22.72
2024-07-24;27.91;28.83;27.91;28.83;3064.39
2024-07-25;31.165;36.25;31.165;33.615;613029.76
2024-07-26;34.13;34.13;34.13;34.13;2047.8
2024-07-30;37.26;37.26;37.26;37.26;1080.54
2024-07-31;26.01;28.315;25.0;25.84;15586.31
2024-08-01;31.58;32.0;31.58;32.0;5692.8
2024-08-02;39.575;39.575;37.595;37.595;15935.495
2024-08-05;43.33;46.225;38.925;38.925;147829.495
2024-08-06;33.8;36.19;33.8;36.19;57766.49
2024-08-07;37.33;37.33;37.085;37.085;41323.085
2024-08-08;39.05;39.05;39.05;39.05;195.25
2024-08-13;34.12;34.895;31.695;31.695;43810.865
2024-08-19;25.29;25.29;23.305;23.56;79742.8
2024-08-20;21.555;21.57;21.555;21.57;2759.4
2024-08-23;22.13;22.13;22.13;22.13;14052.55
2024-08-27;24.4;24.4;24.4;24.4;48800.0
2024-08-28;23.785;25.0;23.785;25.0;1570.84
2024-08-29;27.065;27.065;24.92;24.92;65173.12
2024-09-03;26.19;27.86;26.08;27.56;35749.56
2024-09-05;29.48;29.48;28.485;29.0;68601.96
2024-09-06;30.0;32.975;30.0;32.41;106153.265
2024-09-09;30.935;30.935;30.935;30.935;154.675
2024-09-11;26.96;26.96;26.1;26.1;11302.06
2024-09-13;21.78;21.78;21.78;21.78;108.9
2024-09-26;16.204;16.264;15.966;16.264;14077.044
2024-10-01;18.0;18.0;18.0;18.0;5400.0
2024-10-02;17.8;17.8;17.15;17.15;25985.0
2024-10-15;18.512;18.512;18.512;18.512;20363.2
2024-10-18;18.386;18.386;18.386;18.386;919.3
2024-10-28;18.194;18.194;18.186;18.186;13804.15
2024-10-29;16.954;17.114;16.954;17.114;1187.9
2024-11-06;22.215;22.6;22.025;22.025;124630.565
2024-11-14;24.65;24.65;24.65;24.65;2538.95
2024-11-18;25.67;25.67;25.665;25.665;36245.345
2024-11-28;25.825;25.825;25.18;25.79;3909.72
2024-11-29;25.15;25.175;24.895;24.91;2336.71
2024-12-05;23.205;23.205;23.205;23.205;417.69
2024-12-09;25.42;27.705;25.42;27.705;5749.715
2024-12-10;28.7;28.7;28.15;28.475;1798.8
2024-12-11;30.69;30.69;29.74;29.74;1803.4
2024-12-12;28.32;28.645;28.32;28.645;9737.025
2024-12-13;27.94;30.7;27.94;30.7;591.92
2024-12-16;32.615;34.235;32.615;33.35;2579.755
2024-12-18;32.17;32.175;32.17;32.175;546.915
2024-12-20;37.47;37.47;35.695;35.695;697.155
2024-12-27;32.7;32.7;32.65;32.65;1340.65
2025-01-02;34.835;35.0;34.8;34.8;2402.875
2025-01-03;35.945;35.945;33.97;33.97;309.68
2025-01-06;28.835;29.31;28.75;28.815;70831.53
